SystematicID	Gene_name	Synonyms	Names
SPAC17D4.04	trm401	SPAC458.01,trm4,trm4a	trm401
SPAC4G8.07c	trm2		trm2
SPBC3H7.11	trm141	abp140	trm141
SPBC21C3.07c	trm140		trm140
SPAC1805.03c	trm13		trm13
SPAC4G8.06c	trm12		trm12
SPNCRNA.643	trm112-antisense-1		trm112-antisense-1
SPAC31A2.02	trm112		trm112
SPBC16D10.02	trm11		trm11
SPAC6B12.09	trm10		trm10
SPBC25D12.05	trm1		trm1
SPAC17G8.01c	trl1	SPAC6C3.10c	trl1
SPNCRNA.631	trk2-antisense-1		trk2-antisense-1
SPAC1639.02c	trk2	SPAC1F5.12	trk2
SPAC3F10.02c	trk1	sptrk	trk1
SPNCRNA.1528	tri1-antisense-1		tri1-antisense-1
SPBC29A10.09c	tri1		tri1
SPBC354.09c	tre1	ppp59	tre1
SPNCRNA.632	tra2-antisense-1		tra2-antisense-1
SPAC1F5.11c	tra2		tra2
SPNCRNA.1475	tra1-antisense-1		tra1-antisense-1
SPBP16F5.03c	tra1		tra1
SPAC6F6.16c	tpz1	SPAC6F6.18c,mug169	tpz1
SPCC576.03c	tpx1		tpx1
SPAC2C4.12c	tpt1		tpt1
SPACUNK4.16c	tps3		tps3
SPAC3G6.09c	tps2		tps2
SPAC328.03	tps1		tps1
SPBC725.10	tps0	SpTSPO	tps0
SPAC27D7.14c	tpr1	SPAC637.02c,ctr9	tpr1
SPAP8A3.12c	tpp2	ppp62	tpp2
SPAC19G12.15c	tpp1		tpp1
SPCC24B10.21	tpi1	tpi	tpi1
SPAP14E8.02	tos4		tos4
SPNCRNA.131	tos2	rec7-antisense-4	tos2
SPNCRNA.69	tos1	rec7-antisense-3	tos1
SPBC216.07c	tor2	SPBC646.01c	tor2
SPBC30D10.10c	tor1		tor1
SPNCRNA.1682	top3-antisense-1		top3-antisense-1
SPBC16G5.12c	top3		top3
SPBC1A4.03c	top2	ptr11	top2
SPBC1703.14c	top1		top1
SPAC6B12.12	tom70		tom70
SPBC27B12.10c	tom7		tom7
SPAC823.17	tom6		tom6
SPBC19G7.19	tom5		tom5
SPBC27B12.13	tom40	SPBC8D2.22	tom40
SPAC17H9.16	tom22		tom22
SPAC6F12.07	tom20		tom20
SPBC713.08	tom13	mim1	tom13
SPCC1753.04	tol1		tol1
SPAC11D3.07c	toe4		toe4
SPAPB24D3.01	toe3	SPAPB2C8.02	toe3
SPAC139.03	toe2		toe2
SPNCRNA.764	toe1-antisense-1		toe1-antisense-1
SPAC1399.05c	toe1		toe1
SPBP18G5.03	toc1		toc1
SPCC553.11c	toa2		toa2
SPBC28F2.09	toa1		toa1
SPAC6F12.05c	tnr3		tnr3
SPBC1773.05c	tms1		tms1
SPCC70.07c	tmp1	tmp	tmp1
SPBC365.07c	tmf1		tmf1
SPAC1952.02	tma23		tma23
SPBC16C6.05	tma22		tma22
SPBC31F10.12	tma20		tma20
SPAC1F12.02c	tma19	p23fy,tpt1	tma19
SPAC1D4.01	tls1	SPAC1F3.11	tls1
SPBCPT2R1.08c	tlh2		tlh2
SPAC212.11	tlh1		tlh1
SPAC823.05c	tlg2		tlg2
SPBC36B7.07	tlg1		tlg1
SPAC343.15	tit1	mod5	tit1
SPCC4B3.16	tip41		tip41
SPAC3C7.12	tip1	noc1	tip1
SPCC24B10.05	tim9		tim9
SPAC13G6.04	tim8		tim8
SPNCRNA.1664	tim54-antisense-1		tim54-antisense-1
SPBC1347.04	tim54		tim54
SPBC17A3.01c	tim50	SPBC8D2.21c	tim50
SPBC14C8.02	tim44		tim44
SPCC16A11.09c	tim23		tim23
SPBC25H2.04c	tim22		tim22
SPBC1289.09	tim21		tim21
SPBP23A10.16	tim18	sdh4	tim18
SPAC3A12.16c	tim17		tim17
SPBC713.10	tim16		tim16
SPAC24H6.02c	tim15		tim15
SPAC824.06	tim14		tim14
SPAC17C9.09c	tim13		tim13
SPBC106.05c	tim11		tim11
SPAC222.03c	tim10		tim10
SPAC12B10.08c	til1		til1
SPCC1919.09	tif6		tif6
SPAC56F8.03	tif52		tif52
SPBC336.10c	tif512		tif512
SPAC26H5.10c	tif51		tif51
SPAC2F7.05c	tif5		tif5
SPAC17C9.03	tif471		tif471
SPBC1709.18	tif452	SPBC409.01	tif452
SPAC16E8.15	tif45	tif1	tif45
SPAC821.05	tif38	eif8	tif38
SPBC18H10.03	tif35		tif35
SPAC4A8.16c	tif33	SPAC823.01c	tif33
SPBC17D11.05	tif32		tif32
SPAC1751.03	tif313	SPAC31A2.01	tif313
SPAC8C9.15c	tif225		tif225
SPAC21E11.06	tif224		tif224
SPAC4D7.09	tif223		tif223
SPAC343.14c	tif222		tif222
SPCC11E10.07c	tif221		tif221
SPBC17G9.09	tif213		tif213
SPAC32A11.04c	tif212	tif22,SPAC6B12.17c	tif212
SPNCRNA.892	tif211-antisense-1		tif211-antisense-1
SPAC3G9.09c	tif211	eIF2alpha	tif211
SPBC146.08c	tif1102		tif1102
SPBC25H2.07	tif11		tif11
SPAC1006.07	tif1		tif1
SPAC23C4.07	tht2	mug22	tht2
SPAC13C5.03	tht1		tht1
SPBC4C3.03	thr1		thr1
SPCC965.05c	thp1		thp1
SPCC24B10.11c	tho7	mft1	tho7
SPBC577.04	tho5		tho5
SPBC106.12c	tho4	REF	tho4
SPAC1D4.14	tho2	SPAC22F3.14c	tho2
SPCP25A2.03	tho1		tho1
SPAC9.10	thi9		thi9
SPBP8B7.30c	thi5		thi5
